,action,instance_id,step,type,strtype
369,9,5041,0,"['14', '16']","['14', '16']"
370,8,5041,1,['16'],['16']
371,9,5041,2,"['14', '14']","['14', '14']"
372,7,5041,3,"['24', '24']","['24', '24']"
373,7,5041,4,['24'],['24']
374,6,5041,5,"['24', '24']","['24', '24']"
375,5,5041,6,"['24', '26']","['24', '26']"
376,4,5041,7,['26'],['26']
377,3,5041,8,['14'],['14']
378,9,5042,0,"['24', '26']","['24', '26']"
379,8,5042,1,['14'],['14']
380,7,5042,2,"['14', '16']","['14', '16']"
381,9,5042,3,['24'],['24']
382,6,5042,4,['26'],['26']
383,8,5042,5,"['14', '14']","['14', '14']"
384,5,5042,6,"['24', '24']","['24', '24']"
385,4,5042,7,"['24', '24']","['24', '24']"
386,3,5042,8,['16'],['16']
387,9,5043,0,"['24', '24']","['24', '24']"
388,9,5043,1,"['24', '24']","['24', '24']"
389,8,5043,2,['26'],['26']
390,9,5043,3,['24'],['24']
391,7,5043,4,['14'],['14']
392,7,5043,5,"['14', '14']","['14', '14']"
393,6,5043,6,"['14', '16']","['14', '16']"
394,5,5043,7,"['26', '24']","['26', '24']"
395,4,5043,8,['16'],['16']
396,9,5044,0,"['14', '14']","['14', '14']"
397,8,5044,1,"['24', '26']","['24', '26']"
398,7,5044,2,['16'],['16']
399,6,5044,3,['26'],['26']
400,8,5044,4,"['24', '24']","['24', '24']"
401,5,5044,5,"['14', '16']","['14', '16']"
402,4,5044,6,['24'],['24']
403,9,5044,7,['14'],['14']
404,1,5044,8,"['24', '24']","['24', '24']"
405,9,5045,0,['16'],['16']
406,8,5045,1,['26'],['26']
407,7,5045,2,['24'],['24']
408,7,5045,3,"['24', '24']","['24', '24']"
409,6,5045,4,['14'],['14']
410,5,5045,5,"['14', '16']","['14', '16']"
411,6,5045,6,"['14', '14']","['14', '14']"
412,1,5045,7,"['26', '24']","['26', '24']"
413,4,5045,8,"['24', '24']","['24', '24']"
414,9,5046,0,"['16', '14']","['16', '14']"
415,8,5046,1,"['24', '24']","['24', '24']"
416,7,5046,2,"['24', '26']","['24', '26']"
417,6,5046,3,['26'],['26']
418,5,5046,4,"['14', '14']","['14', '14']"
419,9,5046,5,['16'],['16']
420,5,5046,6,['14'],['14']
421,8,5046,7,"['24', '24']","['24', '24']"
422,7,5046,8,['24'],['24']
423,9,5047,0,"['16', '14']","['16', '14']"
424,8,5047,1,['26'],['26']
425,7,5047,2,"['26', '24']","['26', '24']"
426,9,5047,3,['16'],['16']
427,6,5047,4,['24'],['24']
428,6,5047,5,"['24', '24']","['24', '24']"
429,5,5047,6,['14'],['14']
430,4,5047,7,"['24', '24']","['24', '24']"
431,5,5047,8,"['14', '14']","['14', '14']"
432,9,5048,0,['16'],['16']
433,8,5048,1,"['24', '24']","['24', '24']"
434,8,5048,2,['24'],['24']
435,7,5048,3,['26'],['26']
436,6,5048,4,"['26', '24']","['26', '24']"
437,5,5048,5,['14'],['14']
438,4,5048,6,"['24', '24']","['24', '24']"
439,1,5048,7,"['14', '16']","['14', '16']"
440,5,5048,8,"['14', '14']","['14', '14']"
441,9,5049,0,"['14', '14']","['14', '14']"
442,8,5049,1,"['24', '24']","['24', '24']"
443,7,5049,2,['16'],['16']
444,8,5049,3,['24'],['24']
445,6,5049,4,"['24', '24']","['24', '24']"
446,5,5049,5,"['26', '24']","['26', '24']"
447,1,5049,6,"['14', '16']","['14', '16']"
448,9,5049,7,['14'],['14']
449,4,5049,8,['26'],['26']
450,9,5050,0,"['24', '26']","['24', '26']"
451,8,5050,1,['26'],['26']
452,9,5050,2,"['24', '24']","['24', '24']"
453,7,5050,3,"['24', '24']","['24', '24']"
454,6,5050,4,"['14', '14']","['14', '14']"
455,5,5050,5,['16'],['16']
456,6,5050,6,['14'],['14']
457,7,5050,7,['24'],['24']
458,1,5050,8,"['14', '16']","['14', '16']"
459,9,5051,0,['14'],['14']
460,8,5051,1,['26'],['26']
461,7,5051,2,"['24', '24']","['24', '24']"
462,6,5051,3,['16'],['16']
463,9,5051,4,"['14', '14']","['14', '14']"
464,5,5051,5,"['16', '14']","['16', '14']"
465,1,5051,6,"['26', '24']","['26', '24']"
466,7,5051,7,['24'],['24']
467,4,5051,8,"['24', '24']","['24', '24']"
468,9,5052,0,"['24', '26']","['24', '26']"
469,9,5052,1,"['24', '24']","['24', '24']"
470,8,5052,2,"['14', '14']","['14', '14']"
471,7,5052,3,"['16', '14']","['16', '14']"
472,6,5052,4,['16'],['16']
473,8,5052,5,['14'],['14']
474,5,5052,6,"['24', '24']","['24', '24']"
475,5,5052,7,['24'],['24']
476,4,5052,8,['26'],['26']
477,9,5053,0,"['24', '24']","['24', '24']"
478,8,5053,1,['14'],['14']
479,9,5053,2,['24'],['24']
480,7,5053,3,"['24', '26']","['24', '26']"
481,6,5053,4,"['16', '14']","['16', '14']"
482,9,5053,5,"['24', '24']","['24', '24']"
483,8,5053,6,"['14', '14']","['14', '14']"
484,5,5053,7,['16'],['16']
485,4,5053,8,['26'],['26']
486,9,5054,0,['14'],['14']
487,8,5054,1,"['24', '24']","['24', '24']"
488,9,5054,2,"['14', '14']","['14', '14']"
489,7,5054,3,['16'],['16']
490,8,5054,4,['24'],['24']
491,6,5054,5,"['26', '24']","['26', '24']"
492,5,5054,6,"['24', '24']","['24', '24']"
493,4,5054,7,['26'],['26']
494,1,5054,8,"['14', '16']","['14', '16']"
495,9,5055,0,['24'],['24']
496,8,5055,1,['26'],['26']
497,9,5055,2,"['24', '24']","['24', '24']"
498,7,5055,3,['14'],['14']
499,6,5055,4,['16'],['16']
500,5,5055,5,"['16', '14']","['16', '14']"
501,9,5055,6,"['24', '24']","['24', '24']"
502,7,5055,7,"['14', '14']","['14', '14']"
503,1,5055,8,"['24', '26']","['24', '26']"
504,9,5056,0,['24'],['24']
505,9,5056,1,"['24', '24']","['24', '24']"
506,8,5056,2,['26'],['26']
507,9,5056,3,"['24', '24']","['24', '24']"
508,7,5056,4,"['14', '14']","['14', '14']"
