,action,instance_id,step,type,strtype
534,5,4059,3,"['24', '24']","['24', '24']"
535,2,4059,4,['16'],['16']
536,7,4059,5,['24'],['24']
537,4,4059,6,"['24', '24']","['24', '24']"
538,8,4059,7,['26'],['26']
539,1,4059,8,"['16', '14']","['16', '14']"
540,6,4060,0,"['14', '14']","['14', '14']"
541,1,4060,1,"['14', '16']","['14', '16']"
542,2,4060,2,['26'],['26']
543,4,4060,3,"['24', '24']","['24', '24']"
544,6,4060,4,['24'],['24']
545,3,4060,5,['16'],['16']
546,8,4060,6,"['26', '24']","['26', '24']"
547,5,4060,7,"['24', '24']","['24', '24']"
548,7,4060,8,['14'],['14']
549,2,4061,0,['26'],['26']
550,6,4061,1,"['14', '14']","['14', '14']"
551,3,4061,2,['16'],['16']
552,4,4061,3,['24'],['24']
553,8,4061,4,"['26', '24']","['26', '24']"
554,5,4061,5,"['24', '24']","['24', '24']"
555,7,4061,6,"['24', '24']","['24', '24']"
556,6,4061,7,['14'],['14']
557,1,4061,8,"['16', '14']","['16', '14']"
558,8,4062,0,"['26', '24']","['26', '24']"
559,2,4062,1,['26'],['26']
560,4,4062,2,"['24', '24']","['24', '24']"
561,6,4062,3,['14'],['14']
562,6,4062,4,"['14', '14']","['14', '14']"
563,7,4062,5,['24'],['24']
564,1,4062,6,"['16', '14']","['16', '14']"
565,5,4062,7,"['24', '24']","['24', '24']"
566,3,4062,8,['16'],['16']
567,8,4063,0,"['26', '24']","['26', '24']"
568,7,4063,1,['24'],['24']
569,1,4063,2,"['14', '16']","['14', '16']"
570,7,4063,3,"['24', '24']","['24', '24']"
571,8,4063,4,['26'],['26']
572,3,4063,5,['16'],['16']
573,6,4063,6,['14'],['14']
574,4,4063,7,"['24', '24']","['24', '24']"
575,6,4063,8,"['14', '14']","['14', '14']"
576,6,4064,0,['14'],['14']
577,2,4064,1,['26'],['26']
578,7,4064,2,['24'],['24']
579,4,4064,3,"['14', '14']","['14', '14']"
580,1,4064,4,"['16', '14']","['16', '14']"
581,5,4064,5,"['24', '24']","['24', '24']"
582,8,4064,6,"['26', '24']","['26', '24']"
583,7,4064,7,"['24', '24']","['24', '24']"
584,3,4064,8,['16'],['16']
585,5,4065,0,"['24', '24']","['24', '24']"
586,8,4065,1,"['24', '26']","['24', '26']"
587,2,4065,2,['26'],['26']
588,4,4065,3,"['14', '14']","['14', '14']"
589,7,4065,4,"['24', '24']","['24', '24']"
590,1,4065,5,"['14', '16']","['14', '16']"
591,6,4065,6,['14'],['14']
592,3,4065,7,['16'],['16']
593,7,4065,8,['24'],['24']
594,6,4066,0,"['14', '14']","['14', '14']"
595,6,4066,1,['24'],['24']
596,5,4066,2,"['24', '24']","['24', '24']"
597,7,4066,3,['14'],['14']
598,7,4066,4,"['24', '24']","['24', '24']"
599,3,4066,5,['16'],['16']
600,8,4066,6,"['26', '24']","['26', '24']"
601,1,4066,7,"['14', '16']","['14', '16']"
602,8,4066,8,['26'],['26']
603,5,4067,0,"['24', '24']","['24', '24']"
604,3,4067,1,['16'],['16']
605,6,4067,2,"['14', '14']","['14', '14']"
606,2,4067,3,['26'],['26']
607,7,4067,4,['24'],['24']
608,8,4067,5,"['26', '24']","['26', '24']"
609,4,4067,6,"['24', '24']","['24', '24']"
610,6,4067,7,['14'],['14']
